"id","email","password","name","role","createdAt","updatedAt"
"cmgu0l2ri0000ob0123ebuo0q","super@admin.com","<REDACTED_HASH>","superadmin","ADMIN","2025-10-16 22:51:36.126","2025-10-16 22:51:36.126"
"cmguwb90r0000qi01lmv4wq08","ricardo@example.com","<REDACTED_HASH>","ricardo","CLIENT","2025-10-17 13:39:45.387","2025-10-17 13:39:45.387"
"cmgv41uyr0000qr01ktuxz0rr","nuevo@correo.com","<REDACTED_HASH>","Sebas","CLIENT","2025-10-17 17:16:24.195","2025-10-17 17:16:24.195"
"cmgxvk9930001qr01sb6toh91","usuario@correo.com","<REDACTED_HASH>","Sebas","CLIENT","2025-10-19 15:42:04.503","2025-10-19 15:42:04.503"
"cmgy76qaj0000qr018qa5ug1y","juan@client.com","<REDACTED_HASH>","Juan Client","CLIENT","2025-10-19 21:07:28.795","2025-10-19 21:07:28.795"
"cmgyigaaq0000mn01d5z4zpj3","pedro@client.com","<REDACTED_HASH>","Pedro Cliente","CLIENT","2025-10-20 02:22:50.402","2025-10-20 02:22:50.402"
"cmgz8ztk00000qs01ltvqo1a1","client458347265@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 14:45:51.84","2025-10-20 14:45:51.84"
"cmgz920gr0000lc01bq2enxzf","client212650392@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 14:47:34.108","2025-10-20 14:47:34.108"
"cmgz92nmu0001lc017ui9npbu","client2059684775@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 14:48:04.134","2025-10-20 14:48:04.134"
"cmgz9bvfu0002lc01bpi0apz9","client672056048@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 14:55:14.154","2025-10-20 14:55:14.154"
"cmgz9cqm40003lc01si2p9m1s","client@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 14:55:54.556","2025-10-20 14:55:54.556"
"cmgz9q55j0000p801yztxh9ve","client356624649@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:06:19.928","2025-10-20 15:06:19.928"
"cmgz9xggo0000qy01boyzjl2n","client59493498@example.com","<REDACTED_HASH>","integration-client-2","CLIENT","2025-10-20 15:12:01.176","2025-10-20 15:12:01.176"
"cmgza17kz0001qy01u9q9wo6v","client1074926408@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:14:56.291","2025-10-20 15:14:56.291"
"cmgzackvx0002qy01gfg5ath4","client1945057508@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:23:46.749","2025-10-20 15:23:46.749"
"cmgzakejo0003qy01gkfxsc96","client277649220@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:29:51.781","2025-10-20 15:29:51.781"
"cmgzakvnn0004qy018trwzoe8","client1815679701@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:30:13.955","2025-10-20 15:30:13.955"
"cmgzbd4fl0005qy01wwjpgf1m","client1479471084@example.com","<REDACTED_HASH>","integration-client","CLIENT","2025-10-20 15:52:11.698","2025-10-20 15:52:11.698"
"cmgzdj37v0006qy01299lwa4q","it.client55933517@example.com","<REDACTED_HASH>","it-client","CLIENT","2025-10-20 16:52:49.291","2025-10-20 16:52:49.291"
"cmgzdqvh90007qy01a9c36qov","it.client11937053984@example.com","<REDACTED_HASH>","it-client-1","CLIENT","2025-10-20 16:58:52.509","2025-10-20 16:58:52.509"
"cmgzdqvnu0008qy01zagwqn7e","it.client2939383106@example.com","<REDACTED_HASH>","it-client-2","CLIENT","2025-10-20 16:58:52.747","2025-10-20 16:58:52.747"
"cmgzdvtwp0009qy015bxsdvjk","race.client12062382409@example.com","<REDACTED_HASH>","race-client-1","CLIENT","2025-10-20 17:02:43.754","2025-10-20 17:02:43.754"
"cmgzdvu3d000aqy018bctfg1r","race.client2604912667@example.com","<REDACTED_HASH>","race-client-2","CLIENT","2025-10-20 17:02:43.993","2025-10-20 17:02:43.993"
"cmgzdvu9x000bqy015u4kmb8x","race.client31718536642@example.com","<REDACTED_HASH>","race-client-3","CLIENT","2025-10-20 17:02:44.229","2025-10-20 17:02:44.229"
"cmgzdvuga000cqy01jr99y2kp","race.client41919499660@example.com","<REDACTED_HASH>","race-client-4","CLIENT","2025-10-20 17:02:44.459","2025-10-20 17:02:44.459"
"cmgzdvumv000dqy014azsty8w","race.client5986333742@example.com","<REDACTED_HASH>","race-client-5","CLIENT","2025-10-20 17:02:44.696","2025-10-20 17:02:44.696"
"cmgzdwpgm000eqy01qzc49217","race.client11969967197@example.com","<REDACTED_HASH>","race-client-1","CLIENT","2025-10-20 17:03:24.646","2025-10-20 17:03:24.646"
"cmgzdwpmz000fqy01inlefxhp","race.client2221203971@example.com","<REDACTED_HASH>","race-client-2","CLIENT","2025-10-20 17:03:24.875","2025-10-20 17:03:24.875"
"cmgzdwptg000gqy01kc6w5zqn","race.client31688124641@example.com","<REDACTED_HASH>","race-client-3","CLIENT","2025-10-20 17:03:25.109","2025-10-20 17:03:25.109"
"cmgzdwq10000hqy01ipex7hii","race.client41697349474@example.com","<REDACTED_HASH>","race-client-4","CLIENT","2025-10-20 17:03:25.38","2025-10-20 17:03:25.38"
"cmgzdwq7g000iqy01bbngx9ai","race.client5886864990@example.com","<REDACTED_HASH>","race-client-5","CLIENT","2025-10-20 17:03:25.612","2025-10-20 17:03:25.612"
"cmgze281q0000ns01jqw5n5fe","race.client1438524248@example.com","<REDACTED_HASH>","race-client-1","CLIENT","2025-10-20 17:07:42.014","2025-10-20 17:07:42.014"
"cmgze28a50001ns0199c7thkz","race.client21943823614@example.com","<REDACTED_HASH>","race-client-2","CLIENT","2025-10-20 17:07:42.317","2025-10-20 17:07:42.317"
"cmgze28ge0002ns01sreucelr","race.client3744373961@example.com","<REDACTED_HASH>","race-client-3","CLIENT","2025-10-20 17:07:42.542","2025-10-20 17:07:42.542"
"cmgze28n20003ns019pucof4n","race.client4750658995@example.com","<REDACTED_HASH>","race-client-4","CLIENT","2025-10-20 17:07:42.782","2025-10-20 17:07:42.782"
"cmgze28to0004ns01urg0nucy","race.client5441219398@example.com","<REDACTED_HASH>","race-client-5","CLIENT","2025-10-20 17:07:43.021","2025-10-20 17:07:43.021"
"cmgzegwsl0005ns010x52k99b","demo.user975686826@example.com","<REDACTED_HASH>","demo-user","CLIENT","2025-10-20 17:19:07.27","2025-10-20 17:19:07.27"
"cmgzegwvw0006ns017hp1u0xy","demo.user57302899@example.com","<REDACTED_HASH>","demo-user","CLIENT","2025-10-20 17:19:07.388","2025-10-20 17:19:07.388"
"cmgzegwz50007ns012pd6phjr","demo.user356988002@example.com","<REDACTED_HASH>","demo-user","CLIENT","2025-10-20 17:19:07.505","2025-10-20 17:19:07.505"
"cmgzegx2f0008ns01gzb691l1","demo.user1099816794@example.com","<REDACTED_HASH>","demo-user","CLIENT","2025-10-20 17:19:07.624","2025-10-20 17:19:07.624"
